text,label
It has the following novel features: 1) it represents topics by means of word dusters and employs a finite mixture model (STM) to represent a word distribution within a text; 2) it constructs topics on the basis of corpus data before conducting topic analysis; 3) it segments a text by detecting significant differences between STMs; and 4) it identifies topics by estimating parameters of STMs.,0
"More specifically, it significantly outperforms the combined method in topic identification.",0
Our method addresses topic analysis within a single framework.,0
Topic analysis consists of two main tasks: text segmentation and topic identification.,0
"With topic analysis, one can obtain a topic structure for a text.",0
This empirical study indicates that sample selection can significantly reduce the human effort in parsing sentences for inducing grammars.,0
"Although the reduction is less dramatic when the pool of candidates is small (by 27% in the experiment), the training examples it selected helped to induce slightly better grammars.",0
"Choosing from a large pool of unlabeled candidates, it significantly reduces the amount of training annotations needed (by 36% in the experiment).",0
Our proposed evaluation function using tree entropy selects helpful training examples.,0
The current work suggests many potential research directions on selective sampling for grammar induction.,0
"Thus, the evaluation functions could estimate the training utilities of constituent units rather than full sentences.",0
We have presented a system for grammar extraction that produces an LTAG from a Treebank.,0
"In the first task, by comparing the XTAG grammar with a Treebank grammar produced by LexTract, we estimate that the XTAG grammar covers 97.2% of template tokens in the English Treebank.",0
"In the second task, LexTract converts the Treebank into a format that can be used to train Supertaggers, and the Supertagging accuracy is compatible to, if not better than, the ones based on other conversion algorithms.",0
"The output produced by the system has been used in many NLP tasks, two of which are discussed in the paper.",0
We have also found constructions that are covered in the XTAG grammar but do not appear in the Treebank.,0
"Even when the accuracy figures for corpus-based part-of-speech taggers start to look extremely similar, it is still possible to move performance levels up.",0
All of these changes led to modest increases in tagging accuracy.,0
The potential of maximum entropy methods has not previously been fully exploited for the task of assignment of parts of speech.,0
The work presented in this paper explored just a few information sources in addition to the ones usually used for tagging.,0
This paper has thus presented some initial experiments in improving tagger accuracy through using additional information sources.,0
We also added features that model the interactions of previously employed predictors.,0
"We incorporated into a maximum entropy-based tagger more linguistically sophisticated features, which are non-local and do not look just at particular positions in the text.",0
"While progress is slow, because each new feature applies only to a limited range of cases, nevertheless the improvement in accuracy as compared to previous results is noticeable, particularly for the individual decisions on which we focused.",0
"Moreover, an error-driven learning approach is adopted to drease the memeory requirement and further improve the accuracy by including more context-dependent information into lexicon.",0
It is found that our new chunk tagger singnificantly outperforms other reported chunk taggers on the same training data and test data.,0
In this paper we described a novel language model of incorporating long-distance lexical dependencies based on context co-occurrence vectors.,0
Reduced vector representation of word co-occurrences enables rather simple but effective representation of the context.,0
Significant reductions in perplexity are obtained relative to a staaldard trigram model: both on the entire text.(5.0~) and on the target vocabulary (27.2%).,0
We have evaluated both model-based and language-specific features for detecting language model errors.,0
"Although the precision (so far) is not high (60% 80%), it is not the most important result because (1) this only represents a minor waste of checking effort, compared with scanning the entire text, and (2) the identified errors will be checked further or corrected either manually or automatically.",0
"Hence, instead of a single classifier, we separated 3 situations identified by the language-specific features and 3 classifiers are used to detect these errors individually.",0
"If the model-based and language-specific features are aggregated as a single feature vector, the recall and precision of errors are 83% and 35%, respectively, which are the same if we just use language-specific features.",0
"In particular, matched multi-character words are usually correct.",0
"Individual model-based features did not yield good detection accuracy, suffering from the precision-recall trade-off.",0
"Similar recall and precision performances are achieved using decision trees, which are preferred since their skip ratio is higher (i.e.76%).",0
"The Bayesian classifier (simpliest) achieved an overall 79% recall, 60% precision and 65% skip ratio and the MLP achieved an overall 75% recall, 80% precision and a 66% skip ratio.",0
The language-specific features detect errors better.,0
"We proposed an approach to cross-lingual IR based on hidden Markov models, where the system estimates the probability that a query in one language could be generated from a document in another language.",0
Cross-lingual IR performance is typically 75% that of mono-lingual for our HMM on the Chinese and Spanish collections.,0
Experiments using the TREC5 and TREC6 Chinese test sets and the TREC4 Spanish test set show the following: Our retrieval model can reduce the performance degradation due to translation ambiguity This had been a major limiting factor for other query-translation approaches.,0
"However, our results suggest that query translation can be effective particularly if a bilingual dictionary is the primary bilingual resource available.",0
Manual selection from the translations in the bilingual dictionary improves performance little over the HMM.,0
Our current model assumes that query terms are generated one at time.,0
"Rather than translation ambiguity, a more serious limitation to effective cross-lingual IR is incompleteness of the bilingual lexicon used for query translation.",0
"Some earlier studies suggested that query translation is not an effective approach to cross-lingual IR (Carbonell et al, 1997).",0
We believe an algorithm cannot rule out a possible translation with absolute confidence; it is more effective to rely on probability estimation/re-estimation to differentiate likely translations and unlikely translations.,0
"Automatic word-by-word query translation is an attractive method because it is easy to perform, resources are readily available, and performance is similar to that of other CLIP,.methods.",0
A shortcoming of our method is that the cost of calculation of the mutual information matrices is very large.,0
"Aiming to tackle with these problems, we develop a new scheme for how to select translations in this paper.",0
"As a result of our query translation method, an English query is constructed in which each query term has a weight.",0
"However, there are a lot of ambiguities in translation of the query terms and failures to translate phrases correctly, which are mainly responsible for the large drops in effectiveness below monolingual retrieval performance.",0
"If query expansion is employed in our method, we expect the performance should be further improved.",0
"In addition, rather than using a bilingual phrase dictionary, we also put forward a new method to translate phrases indirectly by using the mutual information between two words in a full sentence and keep the phrase information in the associated word list effectively.",0
"In this study, our method leads to improve the effectiveness by 28.22% over the word by word query translation method, but is still about 27% below the monolingual retrieval performance.",0
"With the more and more bilingual corpora, there is a tendency in NLP community to process and refine the bilingual corpora, which can serve as the knowledge base in support of many NLP applications.",0
"After identified the chunks of English sentences, we predict the chunk boundaries of Chinese sentences by the bilingual lexicon, synonymy Chinese dictionary and heuristic information.",0
"After produce the word candidate sets by statistical method, we calculate the translation relation probability between every word pair and select the best alignment forms.",0
"In this paper, a method for the word alignment of English-Chinese corpus based on chunks is presented.",0
The ambiguities of Chinese chunk boundaries are resolved by the coterminous words in English chunks.,0
"The corpus we use in our experinaent is a relative small corpus about computer handbook, in which the terms are translated with high consistency.",0
To increase the correct rate of Chinese word segmentation is important for our word alignment.,0
We evaluate our system by real corpus and present the results.,0
"This paper introduced an empirical histogrambased supervised learning method for estimating term weights, ~.",0
A different is estimated for each bin and each tf by counting the number of relevant and irrelevant documents associated with the bin and tff value.,0
Empirical weights tend to lie between 0 and idf.,0
"In addition, we find that ~ generally grows linearly with idf, and that the slope is between 0 and 1.",0
"Regression techniques are used to interpolate between bins, but care is taken so that the regression cannot do too much harm (or too much good).",0
"Terms are assigned to bins based on features such as inverse document frequency, burstiness and expansion frequency.",0
"The interactions among t f, id], where, B, el, etc., are complicated, and therefore, we have found it safer and easier to use histogram methods than to try to account for all of the interactions at once in a single multiple regression.",0
"The larger slopes are associated with very robust conditions, e.g., terms mentioned explicitly in all three areas of interest: (1) the query (where = D), (2) the document (tf _> 1) and (3) the expansion (ef > 1).",0
The performance of query expansion (fit-E) is particularly encouraging.,0
"There is generally more shrinking for terms brought in by query expansion (where = E), but if a term is mentioned in several documents in the expansion (el > 2), then it is not as essential that the term be mentioned explicitly in the query.",0
"Three variations were considered: fit-G, fit-B and fit-E.",0
"Using simple purely statistical methods, fit-E is nearly comparable to JCB1, a sophisticated natural language processing system developed by Just System, a leader in the Japanese word processing industry..-: In addition to performance, we are also interested in the interpretation of the weights.",0
We find these limits to be a surprise given that standard term weighting formulas such as tf.idf generally do not conform to these limits.,0
We interpret the slope as a statistical shrink.,0
"In Summrary, we reported in this paper the results on answering questions for the reading comprehension task, using a machine learning approach.",0
"Our learning approach achieves accuracy competitive to previous approaches that rely on handcrafted, deterministic rules and algorithm~.",0
"To the best of our knowledge, this is the first work that reports that the use of a machine learning approach achieves competitive results on answering questions for reading comprehension tests.",0
"We evaluated our approach on the Remedia data set, a common data set used in several recent papers on the reading comprehension task.",0
A probabilistic framework for semantic shiftreduce parsing was presented.,0
A new ILP learning system was also introduced which learns multiple hypotheses.,0
Experimental results were presented that demonstrate that such an approach outperforms a purely logical approach in terms of the accuracy of the learned parser.,0
These two techniques were integrated to learn semantic parsers for building NLI's to on|ine databases.,0
This paper has explored the automatic construction of a Korean WordNet from pre-existing lexical resources - English wordNet and Korean/English bilingual dictionary.,0
"In a series of experiments, we observed that the accuracy of mapping is over 90%.",0
We obtained a preliminary version of the Korean WordNet containing 21654 senses of 17696 Korean nouns.,0
We presented several techniques for word sense disambiguation and their application to disambiguate the translations in bilingual dictionary.,0
This paper presents an intuitive search system for casual or novice Chinese users on specific websites.,0
"Instead of describing the algorithmic portions of each component, we focus on illustrating the overall system design and how the integrated system works and serves the endusers.",0
It does not assume that the user receives any training in search and retrieval or has any prior experience in using Internet.,0
It provides a conceptdriven search environment that allows the user to manipulate the semantic relationships between the original query terms with its associated terms.,0
"Our survey states that the existing search systems, especially those in the Chinese market, are still dominated by key term search mechanism.",0
The integrated system will guide the user from a general search to a series of more specific searches until he is fully satisfied with the information returned.,0
"The preliminary results have demonstrated that the integration of a concept network, a query reformulator, a standard search algorithm, an auto summarizer, and an optional TTS engine indeed suits the current information seeking behavior and make search activities in websites more intuitive, as well as productive.",0
The presented system provides human intelligence to the user who desires to seek relevant information over Interact.,0
The user can start his search with a general and vague term or idea.,0
This integrated system presents a new paradigm.,0
We have so far built two applications based on two specific domains.,0
This paper represents a first attempt at a combined parsing/word sense disambiguation model.,0
Practical machine translation systems should be able to accommodate long sentences.,0
Experiments suggest that the proposed maximum entropy models can be incorporated into the parser for practical machine translation systems.,0
Further works can be done in two directions.,0
"In the experiments with 1800 test sentences, about 87% of them were benefited from segmentation.",0
The method builds statistical models automatically from a text corpus to provide the segmentation appropriateness for safe segmentation.,0
"The statistical intra-sentence segmentation method can also relieve human of the burden of constructing information, such as segmentation rules or sentence patterns.",0
This paper presents a method for intra-sentence segmentation based on the maximum entropy model.,0
This will enhance parsing efficiency further.,0
Thus intra-sentence segmentation is required as a means for reducing parsing complexity.,0
"This work has pointed out some difficulties regarding the portability of supervised WSD systems, a very important issue that has been paid little attention up to the present.",0
"According to our experiments, it seems that the performance of supervised sense taggers is not guaranteed when moving from one domain to another (e.g.from a balanced corpus, such as BC, to an economic domain, such as WSJ).",0
"Consequently, it is our belief that a number of issues regarding portability, tuning, knowledge acquisition, etc., should be thoroughly studied before stating that the supervised ML paradigm is able to resolve a realistic WSD problem.",0
Further work is planned to be done in the following directions: Extensively evaluate LazyBoosting on the WSD task.,0
"Furthermore, these results are in contradiction with the idea of ""robust broad-coverage WSD"" introduced by (Ng, 1997b), in which a supervised system trained on a large enough corpora (say a thousand examples per word) ~hould provide accurate disambiguation on any corpora (or, at least significantly better than MFS).",0
Furthermore.this algorithm is proven to have better properties when is applied to new domains.,0
"It is known that mislabelled examples resulting from annotation errors tend to be hard examples to classify correctly, and, therefore, tend to have large weights in the final distribution.",0
"Moreover, the inspection of the rules learned by kazyBoosting could provide evidence about similar behaviours of apriori different senses.",0
Preliminary experiments have been already carried out in this direction on the DSO corpus.,0
"Regarding the M L algorithms tested, the contribution of this work consist of empirically demonstrating that the LazyBoosting algorithm outperforms other three state-of-theart supervised ML methods for WSD.",0
These results implies that some_kind of adaptation is required for cross-corpus application.,0
This observation allows both to identify the noisy examples and use LazyBoosting as a way to improve data quality.,0
This type of knowledge could be useful to perform clustering of too fine-grained or artificial,0
"This would include taking into account additional/alternative attributes and testing the algorithm in other corpora --specially on sense-tagged corpora automatically obtained from Internet or large text collections using nonsupervised methods (Leazock et al., 1998; Mihalcea and Moldovan, 1999).",0
"This study is another application that demonstrates the usability of the WWW as a resource for NLP (see, for instance, (Grefenstette, 1999) for an application of using WWW frequencies in selecting translations).",0
"Further work on Web-based NE acquisition could take advantage of machine learning techniques as used for wrapper induction (Kushmerick et al., 1997).",0
"It also confirms the interest of non-textual linguistic features, such as formatting markups, inNLP for structured documents such as Web pages.",0
"In this paper, I have presented a query tool for syntactically annotated corpora that is developed for the German Verbmobil treebank annotated at the University of Tiibingen.",0
An obvious advantage of this architecture is that a considerable amount of work is taken over by the database management system and therefore needs not to be implemented.,0
"Furthermore, the mysql indexing functionalities can be used to directly affect the performance of the search.",0
"In some cases, this implies a modification of the way binary relations are precompiled, and in some other cases this would even lead to a modification of the query language and the database schema, namely in those cases where other binary relations are needed, e.g.the coindexation relation in the case of the Penn Treebank.",0
The key idea is to extract in an initializing phase the information one wants to search for from the corpus and to store it in a relational database.,0
"The query tool is work in progress, and I briefly want to point out some of the things that still need to be done.",0
The search itself is done by translating an input query that is an expression in a simple quantifier free first order logic into an SQL query that is then passed to the database system.,0
This will be done very soon.,0
This paper explored three possibilities for filtering out the SCF entries produced by a SCF acquisition system.,0
"A nonparametric statistical test, such as Fisher's exact test, recommended by Pedersen (1996), might improve on the results obtained using parametric tests.",0
"Any statistical test would work better at low frequencies than the MLE, since this simply disregards all low frequency SCFs.",0
"However, more sophisticated smoothing methods, which back-off to an unConditional distribution, will also suffer from the lack of correlation between conditional and unconditional SCF distributions.",0
"If MLE thresholding persistently achieves better results, it would be worth investigating ways of handling the low frequency data, such as smoothing, for integration with this method.",0
"In our experiments, ff we had used MLE only for the high frequency data, and BHT for medium and low, then overall we would have had 54% precision and 67% recall.",0
"In some recent experiments, we tried optimising the estimates for pe depending on the performance of the system for the target SCF, using the method proposed by Briscoe, Carroll and Korhonen (1997).",0
It certainly seems worth employing hypothesis tests which do not rely on the unconditional distribution for the low frequency SCFS.,0
Lapata (1999) also reported that a simple relative frequency cut off produced slightly better results than a Brent style BHT.,0
"Nevertheless, the precision result was 14% worse for precision than MLE, though there was a 4% improvement in recall, making the overall performance 3.9 worse than MLE according to the F measure.",0
"Results using the new estimates for pe gave an improvement of 10% precision and 6% recall, compared to the BHT results reported here.",0
"Surprisingly, the simple MLE thresholding method worked best.",0
"The BHT and LLR both produced an astounding mlmber of FPs, particularly at low frequencies.",0
The estimates of pe were obtained from a training set separate to the heldout BNC data used for testing.,0
"These were (i) a version of Brent's binomial filter, commonly used for this purpose, (ii) the binomial log-likelihood ratio test, recommended for use with low frequency data and (iii) a simple method using a threshold on the MLEs of the SCFS output from the system.",0
"This paper shows that the one sense per collocation hypothesis is weaker for finegrained word sense distinctions (e.g.those in WordNet): from the 99% precision mentioned for 2-way ambiguities in (Yarowsky, 1993) we drop to 70% figures.",0
A system trained on a specific genre/topic would have difficulties to adapt to new genre/topics.,0
"As a side effect, we have shown that the results on usual WSD exercises, which mix training and test data drawn from the same documents, are higher than those from a more realistic setting.",0
"Besides, methods that try to extend automatically the amount of examples for training need also to account for genre and topic variations.",0
"In fact, we demonstrated that when two independent corpora share a related genre/topic, the word sense disambiguation results would be better.",0
These figures could perhaps be improved using more available data.,0
This explains the low results when performing word sense disambiguation across corpora.,0
"We also discovered several hand-tagging errors, which distorted extracted collocations.",0
"We also show that one sense per collocation does hold across corpora, but that collocations vary from one corpus to other, following genre and topic variations.",0
"We did not evaluate the extent of these errors, but they certainly affected the performance on cross-corpora tagging.",0
"In this paper, we have shown that the verb form specific SCF distributions of semantically similar verbs correlate well.",0
"As Korhonen, Gorrell and McCarthy (2000) discuss, any statistical filtering method would work better at low frequences than the one applied, since this simply disregards all low frequency SCFS.",0
"Employing the SCF acquisition framework of Briscoe and Carroll (1997), we have demonstrated that these estimates can be used to improve SCF acquisition significantly, when combined with smoothing and a simple filtering method.",0
"However, our recent investigation shows that the total number of semantic classes across the whole lexicon is unlikely to exceed 50.",0
"In principle, this should help to improve the performance of the statistical methods which make use of back-off estimates.",0
"On the basis of this observation, we have proposed using verb class specific back-off estimates in SCF acquisition.",0
"The latter can be done by linking the WordNet synonym sets with semantic classes, using a similar method to that employed by Dorr (1997).",0
The manual effort needed for obtaining the back-off estimates was quite high for this preliminary experiment.,0
"Therefore the additional effort required to carry out the proposed work seems justified, given the accuracy enhancement reported.",0
This is because many of the Levin classes have proved similar enough in terms of SCF distributions that they can be combined together.,0
We have not yet explored the possibility of using the semantically motivated estimates with statistical filtering.,0
"With the research reported, verbs were classified to semantic classes according to their most frequent sense.",0
Correctedco-training bridges the gap in accuracy betweenweak initial classifiers and fully supervised clasSllers.,0
"Finally, as an approach to resolving the tension in weakly supervised learning between accumulating accurate training data and coveringthe desired task, we suggest combining weaksupervised methods such as co-training or self-training with active learning.",0
"Furthermore, our experiments support thehypothesis that labeled data quality is a crucialissue for co-training.",0
"Naturally, the resulting classifier does not perform as well as afully supervised classifier trained on hundredsof times as much abeled data.but if the difference in accuracy is less important than theeffort required to produce the labeled trainingdata.co-training is especially attractive.",0
Our exderiments indicate that co-training is an effective method for learning bracketers from smallamounts of labeled data.,0
"Our moderately supervised variant, corrected co-training, maintainslabeled data quality without unduly increasingthe burden on the human annotator.",0
"This case study explored issues involvedwith applying co-training to the natural language processing task of identifying base nounphrases, particularly, the scalability of co-training for large-scale problems.",0
"A wide range and a large number of classifica_x005f_x0002_tion tasks will have to be used in order to perform any high level natural language inference such as speech recognition, machine translation or question answering.",0
"Although in each instantiation the real conflict could be only to choose among a small set of candidates, the original set of candidates could be very large; deriving the small set of candidates that are relevant to the task at hand may not be immedi_x005f_x0002_ate.",0
In our experimental study the decomposition of the feature space was done manually; it would be nice to develop methods to do this automatically.,0
Preliminary experiments also show promise.,0
Several issues are still missing from this work.,0
"This paper addressed this problem by developing a general paradigm for multi-class classification that sequentially restricts the set of candidate classes to a small set, in a way that is driven by the data ob_x005f_x0002_served.",0
"We have described the method and provided some justifications for its advantages, especially in NLP-like domains.",0
"Another possibility is to usethe method of(Dagan et al., 1995)to improvethe est imates of the likelihood of co-occurrencesthat are rare in the training data.",0
In this paper we developed a successful alproach for automatically distinguishing betweencoherent and non-coherent sentences.,0
One idea for reducing the effect of thestribution instead of the current point estimateAnother possible approach would be to use adifferent correlation statistic; one possibility isthe X statistic.,0
"Our combination of feature sets and learners achieved areduction in error of 24% from the features usedin previous work (Cai et al., 2000).",0
Our successful approach used the semantic associationbetween word-pairs as well as simple featuressuch as sentence length and percentage of stopwords to construct a highly accurate classier.,0
Thepoint estimates of the Q values for words thatappear infrequently in our corpus are often ununreliable estimates is to use a confidence oreliable.,0
This evaluation can be performed by incorporating thesemantic coherence features into an exponentialanguage model and then using the model for apractical application such as n-best list rescoring.,0
"When people are given this classification taskdistinguishing coherent and non-coherentsentences, they tend to group together wordin the sentence that belong to the same topicWe would like to model this process by usingother clustering methods to group the semna,Itically similar words together in each sentenceThen statistics based on these clusters could beused as additional features to improve the coherence measure.",0
Yules Q statistic is not necessarily the bestmeasureof word-pair correlation because it isextremely susceptible to data sparseness.,0
"A bilingual lexicon provides a clear benefitWhile training on a parallel corpus alone weachieved 76.9% accuracy, the lexicon boostedthis to 89.5%.",0
"A common evaluation metric enableda first quantitative comparison, as summarized in Figure 5.",0
"Also, using both monolingualdata and a lexicon allowed us to replace theparallel corpus and get similar performance(79.0%).",0
"Clearly, there is still much room for improvement-many ideas that we touched upon here require further investigation.",0
Finally we showed how to acquire a translation model purely from monolingual corpora.,0
These models are usually trained on paral-lel texts.,0
We established that a word-level translationmodel is a core element of machine translationsystems-95% of nouns can be translated within a conventional bngual lexicon.,0
We investigated various methods toaugment and replace the need for parallel corpora with monolingual corpora and bilingualexicons.,0
"Because of the considerable difference between Ensh and Korean, computation cost of lexical alignment is very high.",0
"Firstly, themitial active features were collected from a smalsize of manually aligned bitext, which are trained bS wha tra ininthm for ME.",0
Furthermore.the features extracted were testedfor lexical alignment of bitext.,0
"In this paper, we defined the structural feature asthe correspondence of POS tagsented a, method for extraction of structural featuresfor Korean-english bilingual alignment.",0
One solution of the problem is toprovide mapping information of syntactic structurebetween the two languages.,0
"Secondextracted from training data, the features givingarge gain were added to the set of active features.",0
The experimentshowed that the features are helpful for reducinthe mapping space in alignment.,0
"In this paper we adopted a stacked generalization approach to anti-spam filtering, and evaluated its performance.",0
"Our experiments, using two different approaches to stacking and two different misclassification cost scenarios, show that stacking consistently improves the performance of anti-spam filtering.",0
"The classifiers that we chose as members of the committee have been evaluated individually on the same data as in our evaluation, i.e.the Ling_x005f_x0002_Spam corpus.",0
"The configuration that we examined combined a memory-based and a Naive Bayes classifier in a two-member committee, in which another memory-based classifier presided.",0
The results of these earlier studies were used as a basis for comparing the performance of our method.,0
The results presented here motivate further work in the same direction.,0
This is explained by the fact that the two members of the committee disagree more often than agreeing in their misclassification errors.,0
"Thus, the president is able to improve the overall performance of the filter, by choosing the right member閳ユ獨 decision when they disagree.",0
"From this point of view, it is expected that the proposed method is useful for kernel-based methods, to which SVM belongs.",0
"However, the appropri_x005f_x0002_ate number must be predicted based on a theoretical reason.",0
"In our method, indepen_x005f_x0002_dent components are extracted using ICA and concatenated with the original vectors.",0
"In this paper, we set the number to 50 in an ad-hoc way.",0
The proposed method can be applied also to other machine learning algorithms provided that they are robust against noise and can han_x005f_x0002_dle a high-dimensional feature space.,0
"Toward this problem, theories of model selection such as Minimum Description Length (Rissanen, 1987) or Akaike Information Criterion (Akaike, 1974) could be a good theo_x005f_x0002_retical basis.",0
"Using this new vectors in the restructured space, we achieved high performance both with small and large numbers of labeled data.",0
We proposed a new method of feature space re_x005f_x0002_structuring for SVM.,0
"Addtional information about this work can be found at http://www.cs.columbia.edu/~sable/bins.html,and we will continue to exdand this page as our research continues.",0
"Alsowe believe that it might be better to compute termweights for individual words when possible, andso back off to the bin only when necessaryot her words.when there is sufficient evidence tocompute term weights for words, we should do sobut in other cases.we should back off and usebins.",0
"Our results show that our btem is highly competitive withOther svstems, and narticular, that it is usually at least as good as Naive Bayes.",0
These changes may improve our svstem.whichis already faring well against competitors.,0
this paper describes how to use bis to emeticaestimate term weigts for thepurpose ogorization.,0
Using bins allows our system to estimateterm weights for words which appear infrethe trainings smoothgeffect can improve performance by avoiding iaccrate term weights for infrequent words.,0
We haveeroderee complete experiments on very different datcomparedsvstem toetga vareChich have proved successful for text categorizationhe past.,0
"In this paper, we presented a machine learning approach to question answering.",0
The results indicate that such an approach is a promising way to build a state-of-the-art question answering system.,0
A framework which utilizes the vast amounts of text data collected once such a system is deployed would be desirable.,0
"As for using the SLM as the language understand?ing component of a speech driven application, such as MiPad, it would be interesting to evaluate the im_x005f_x0002_pact of incorporating the semantic constraints on the word-level accuracy of the system.",0
"Statistical model?ing techniques that make more e_x005f_x000b_ective use of the training data should be used in the SLM, maximum entropy (Berger et al., 1996) being a good candidate.",0
"The big diference in performance between train?ing and test and the fact that we are using so little training data, makes improvements by using more training data very likely, although this may be expensive.",0
"The performance of the baseline model could be improved with more authoring effort, although this is expensive.",0
"We have presented a data-driven approach to inforemation extraction that, despite the small amount of training data used, is shown to outperform the slot level accuracy of a simple semantic grammar authored manually for the MiPad -- personal infor?mation management -- task.",0
"For the mixed class Defect in Location, the algorithm achieved an accuracy around 95% for both 閳ユ窉efect閳?and 閳ユ窡oca_x005f_x0002_tion閳?simultaneously.",0
In this task of multi-class classification (with 18 classes) we achieved an accuracy of about 60%.,0
Our approach han_x005f_x0002_dles 閳ユ笗ixed-class閳?relations naturally.,0
Our results also indicate that the second noun (the head) is more important in determining the relationships than the first one.,0
Our results seem to indicate that we do not lose much in terms of accuracy using the more compact MeSH representation.,0
The initial results are quite promising.,0
The main idea is to define a set of rela_x005f_x0002_tions that can hold between the terms and use stan_x005f_x0002_dard machine learning techniques and a lexical hi_x005f_x0002_erarchy to generalize from training instances to new examples.,0
These results can be compared with Vanderwende(1994) who reports an accuracy of 52% with 13 classes and Lapata (2000) whose algorithm achieves about 80% accuracy for a much simpler binary clas_x005f_x0002_sification.,0
This indicates that the MeSH models can generalize successfully over unseen words.,0
This is particu_x005f_x0002_larly important in the case of larger collections with a much bigger number of unique words for which the lexical-based model is not a viable option.,0
We have also shown how MeSH-besed models out perform a lexical-based approach when the num_x005f_x0002_ber of training points is small and when the test set consists of words unseen in the training data.,0
We have also shown that representing the nouns of the compound by a very general represen_x005f_x0002_tation (Model 2) achieves a reasonable performance of aout 52% accuracy on average.,0
We have presented a simple approach to corpus_x005f_x0002_based assignment of semantic relations for noun compounds.,0
We have shown that a class-based representation performes as well as a lexical-based model despite the reduction of raw information content and de- Accuracy on test set Accuracy on test set spite a somewhat errorful mapping from terms to concepts.,0
"In our experiments without each fea_x005f_x0002_ture set shown in Tables 1, we found that dic_x005f_x0002_tionary information significantly contributes to improving accuracy.",0
The model estimates how likely a string is to be a morpheme according to the information on hand.,0
This method uses a model that can not only consult a dictionary but can also identify unknown words by learning cer_x005f_x0002_tain characteristics.,0
This paper described a method for morpho_x005f_x0002_logical analysis based on a maximum entropy (M.E.)model.,0
"To learn these characteris_x005f_x0002_tics, we focused on such information as whether or not a string is found in a dictionary and what types of characters are used in a string.",0
"We also found that our model can e_x005f_x000e_ciently learn the characteristics of unknown words, especially proper nouns such as the names of people, organizations, and locations.",0
"When our method was used to iden_x005f_x0002_tify morpheme segments in sentences in the Ky_x005f_x0002_oto University corpus and to identify the ma_x005f_x0002_jor parts-of-speech of these morphemes, the re_x005f_x0002_call and precision were respectively 95.80% and 95.09%.",0
"Apparently, either current algorithms already capture much non-compositionality or LSA-based models of non-compositionality are of little help.",0
"However, LSA-based gains are small compared to the effort required to obtain them.",0
LSA does help somewhat as a model of substitutivity.,0
This paper identifies several new results in the area of MWU-finding.,0
